	5dhg_	4djh_	4n6h_	4dkl_	6c1r_	3odu_	5t1a_	4mbs_	5lwe_	5vbl_	4zud_	5ung_	3vw7_	5ndd_	4xnw_	4pxz_	4zjc_	4s0v_	5zbq_	5x93_	4xes_	1u19_	5uen_	4eiy_	5x33_	4phu_	5xsz_	5tgz_	3v2y_	4z35_	4ib4_	5wiv_	6cm4_	3pbl_	4bvn_	2rh1_	3rze_	4iar_	3uon_	5dsg_	5cxv_	4u15_	5zkq_
M5R	25.59	28.24	27.06	26.27	25.91	22.98	23.6	21.6	21.69	24.02	26.17	22.05	21.12	22.22	24.1	18.29	25.48	27.31	20.83	21.46	23.42	19.11	26.44	30.86	23.29	18.78	22.18	23.83	26.27	21.66	31.4	29.18	34.13	31.89	33.59	30.89	38.28	36.96	63.73	65.85	76.41	81.34	18.65
TAAR1	21.84	27.48	23.66	24.81	21.26	24.31	22.35	22.09	22.96	24.05	24.06	22.14	18.32	18.18	20.93	17.72	23.16	23.81	20.65	21.69	20.14	18.14	25.27	25.44	17.32	16.67	18.29	22.26	22.06	18.81	28.52	31.52	36.53	31.02	34.29	33.69	30.77	33.33	29.62	28.85	32.69	32.05	16.48
TAAR2	22.31	23.08	21.97	23.75	20	20.85	21.71	19.85	23.08	21.46	24.06	20.99	18.32	18.94	18.22	15.75	23.62	22.79	21.01	20.44	18.12	17.49	21.86	24.47	17.32	15.87	19.77	20.51	19.26	19.09	27.54	28.73	31.48	25.91	27.92	29.12	26.47	30.07	22.78	22.39	26.64	25.97	13.74
TAAR3	22.01	23.94	24.05	25.38	19.05	21.18	18.82	17.05	18.29	20.46	20.53	21.24	20.77	17.49	18.82	17	23.05	24.07	20.44	20.59	20	16.89	20.86	23.84	18.73	14.86	19.84	18.75	20.45	19.91	24.09	28.21	30.22	26.47	28.57	28.37	27.41	28.47	24.9	23.35	24.51	24.22	15.33
TAAR5	23.46	24.23	25.29	23.37	24.02	23.23	21.96	20.62	22.66	24.23	24.62	21.92	20.69	19.01	20.31	17.32	28.25	27.04	23.72	21.11	22.46	22.42	25.99	28.67	19.44	18	19.14	20.59	20	22.12	29.2	32.35	32.58	29.52	34.89	33.09	27.51	32.85	25.97	26.74	28.29	26.74	19.23
TAAR6	25.38	27.69	23.75	26.05	22.44	24.02	20.78	22.18	21.48	25	25	20	21.07	18.63	19.53	18.5	23.62	25	21.74	22.14	20.58	21.52	26.52	30.25	21.83	20	21.09	24.18	21.85	22.58	28.62	28.47	32.71	29.67	30.94	31.43	30.26	32.25	31.78	31.4	29.46	29.84	19.23
TAAR8	24.23	26.54	21.46	23.75	23.62	26.38	20	21.01	22.27	26.54	23.11	19.62	18.77	17.11	19.14	19.29	24.72	24.63	20.65	22.14	20.58	21.52	27.96	27.05	22.22	19.2	20.31	23.81	21.11	24.42	26.81	27.74	32.71	30.04	29.86	30	31	31.88	32.56	32.56	31.01	29.84	19.23
TAAR9	24.62	29.23	24.14	27.2	20.08	24.02	20.39	20.62	21.09	21.92	23.48	23.85	19.92	17.49	21.88	18.11	25.09	28.31	21.38	22.51	20.58	21.97	27.24	29.18	20.24	19.6	21.48	22.71	19.63	22.12	27.54	27.74	32.34	30.4	30.94	33.21	31	32.25	31.01	31.01	29.07	27.91	18.08
BLT1	27.94	27.74	27.74	26.1	30.71	27.34	25.47	26.77	26.18	27.57	28.83	25.93	24.42	20.54	25.66	21.15	25.97	26.25	25.57	20.88	24.62	19.35	22.66	22.13	100	21.03	22.73	19.44	21.83	15.96	21.83	23.92	22.31	22.75	23.41	22.22	22.58	21.43	25.6	26.4	23.2	24.5	23.13
BLT2	28.52	26.46	30.23	24.61	25.29	24.91	23.19	22.18	23.31	28.62	23.44	23.7	20.31	22.22	22.47	17.31	22.51	19.85	19.78	21.3	25.91	18.81	17.87	18.18	47.33	20.97	20	16.99	16.22	17.76	21.07	25.48	18.75	21.71	20.93	18.6	19.53	21.92	22.22	22.62	23.41	20.72	20.75
CysLT2	28.24	29.06	28.52	28.52	28.08	32.7	26.24	27.07	30.68	28.25	31.97	29.32	31.46	30.6	30.69	27.21	22.26	23.68	23.97	21.61	24.44	22.17	21.07	21.54	25.1	22.18	32.61	13.85	18.08	17.05	19.69	21.62	21.57	23.46	24.71	24.31	23.14	20.54	19.92	20.72	22.71	22.4	30.55
CysLT1	27.27	29.81	27.61	32.2	24.15	30.86	25	24.26	24.91	28.73	30.91	27.21	28.21	27.47	31.56	25.54	21.72	23.13	22.01	17.14	23.25	23.08	19.7	17.74	25.56	20.23	32.4	13.85	15.06	17.35	21.92	20	22.57	23.66	21.24	23.17	21.96	20.46	20.8	21.6	19.2	20.88	29.47
CB1	21.07	19.16	20.23	18.7	18.9	17.25	20	18.92	15.12	23.28	19.25	21.76	18.01	17.94	15.83	16.67	22.3	21.85	19.85	20.44	16.97	18.22	24.82	26.18	19.44	15.66	12.21	100	30.07	27.27	20.73	19.41	23.51	20.96	25.37	22.71	26.67	27.01	22.18	22.96	25.68	26.95	16.67
CB2	20.45	19.72	20.35	21	18.66	15.84	16.51	15.77	18.81	21.3	18.26	18.14	22.12	19.18	15.91	15.84	21.46	22.73	16.36	19.91	17.78	16.13	23.08	25.56	20.66	17.48	14.67	44.55	26.94	25.64	18.52	23.15	23.7	24.07	27.27	24.09	25.46	23.18	21.66	21.2	22.58	25	17.86
FFAR1	22.22	18.82	21.65	19.76	21.2	21.46	23.39	20.88	22.78	21.88	23.44	20.16	23.6	22.18	17.9	19.44	19.76	18.11	18.75	20.31	16.08	17.22	14.89	16.99	21.03	100	20.38	15.66	14.17	14.08	21.69	25.7	18.78	20.08	20.32	17.93	19.03	16	19.11	19.51	18.29	17.55	20.31
FFAR2	21.76	23.86	21.13	21.29	20	21.79	20.62	21.46	22.26	23.97	21.05	19.77	25.83	26.57	23.31	24.53	18.22	18.15	17.94	21.85	20.53	21.46	16.35	16.03	22.39	29.63	22.14	18.32	17.76	17.21	22.48	21.62	20	21.15	20.08	20.08	20.78	22.78	22.71	22.71	23.51	22.4	25.37
FFAR3	26.05	22.9	22.81	22.9	21.24	22.35	22.35	22.39	22.81	24.15	22.35	23.37	31.48	29	26.79	23.28	20.31	21.01	22.31	21.72	22.14	21.56	18.32	18.85	21.62	32.84	25.37	18.01	16.67	19.25	21.4	26.36	21.26	23.17	19.84	19.84	19.69	19.38	24	23.2	24	23.29	22.3
FFAR4	18.5	22.47	19.65	18.94	20.28	22.17	17.27	17.04	19.82	20.17	18.1	16.96	16.74	17.18	17.7	16.52	21.49	21.83	18.45	21.85	18.41	17.94	21.89	17.9	24.89	15.53	15.65	18.5	19.38	19.43	20.26	23.01	24.09	21.52	20.8	16.81	18.14	21.68	18.03	17.6	18.45	17.24	16.74
S1P1	17.76	18.46	18.46	17.69	18.18	18.9	18.9	18.22	19.84	18.32	18.11	16.79	16.92	18.39	19.31	19.46	22.1	22.76	20.07	22.43	17.88	19.03	21.69	25.83	21.83	14.17	16.48	30.07	100	36.53	22.43	19.63	26.04	25	23.7	22.59	23.6	27.78	24.61	23.44	26.17	26.27	19.01
S1P2	17.58	19.46	18.68	19.07	18.18	17.39	16.6	16.73	19.84	18.53	18.39	16.28	16.28	18.68	15.83	20.55	21.54	21.46	16.41	19.1	19.55	19.37	21.13	26.24	19.05	17	14.01	27.99	54.81	32.72	21.89	25.38	24.42	24.9	24.33	22.81	22.69	26.79	21.51	22.31	25.1	23.6	17.76
S1P3	17.37	18.85	18.85	19.23	19.37	16.54	17.72	15.89	16.34	16.41	19.01	17.69	16.92	15.33	17.37	19.07	18.63	21.21	20	20.3	17.04	19.91	20.82	23.97	21.03	11.34	14.18	29.78	60.58	35.16	20.9	20.6	22.61	23.86	25.19	23.31	23.95	23.88	22.44	23.23	25.59	24.51	19.77
S1P4	21.46	18.7	19.47	17.56	18.04	18.36	17.58	16.54	15.44	21.59	19.25	17.94	17.94	17.49	18.01	18.15	23.4	21.43	21.35	17.95	19.49	19.03	21.77	22.68	21.26	19.28	14.83	28.83	43.07	32.73	16.67	21.19	19.77	21.43	22.85	19.85	21.51	21.11	20.31	20.31	22.27	20.39	18.49
S1P5	18.85	16.48	18.77	15.33	19.37	19.29	15.35	16.67	17.12	19.85	16.23	16.79	16.15	17.24	15.83	16.34	22.96	20.3	20.22	18.98	21.3	17.26	20.36	20.36	21.03	17.81	14.94	28.32	52.16	31.96	20.29	22.26	23.79	23.53	22.79	18.98	25.09	26.28	22.27	23.44	26.17	23.14	17.87
LPA1	21.36	17.43	18.92	16.44	19.14	20.28	16.13	16.97	19.27	21.3	20.55	16.74	20	17.51	18.35	17.35	21.66	23.39	16.36	18.5	18.22	18	22.62	24.89	15.96	14.08	17.94	27.27	36.53	100	19.91	22.22	28.23	28.37	22.94	22.48	21.3	25.45	22.02	22.94	22.02	21.66	20.09
LPA2	22.57	19.38	21.71	18.6	19.92	17.86	18.25	18.75	19.22	19.92	19.77	18.39	15.5	16.99	17.83	16.47	21.27	21.19	20.07	18.15	18.68	19.56	21.77	26.2	21.6	16.26	15.44	25.72	37.68	51.15	19.34	22.51	21.8	23.05	25.28	24.44	20.9	25.93	24.71	25.49	23.92	23.62	19.92
LPA3	19.55	18.35	18.92	17.35	17.7	16.59	17.51	18.35	19.27	18.06	19.63	16.74	17.21	16.59	20.18	19.18	21.66	22.02	17.27	17.62	16	19.52	20.36	23.53	15.96	15.05	17.94	25.45	31.51	54.51	20.37	21.76	25.36	26.98	24.77	26.15	20.83	29.09	22.02	21.56	21.56	23.96	18.75
LPA4	27.97	31.18	25.57	29.12	28.57	30.04	28.24	27.44	29.32	30.48	28.25	28.95	31.48	29.89	32.13	26.69	23.68	23.97	24.44	21.74	20.37	22.42	21.62	18.92	25	20.87	58.68	15.06	17.76	17.43	19.46	20.7	21.96	22.87	23.23	23.62	20.55	21.09	21.05	20.24	19.43	18.7	29.58
LPA5	25.48	25.76	26.32	25.1	25.76	22.39	23.97	26.2	24.09	23.16	26.1	21.93	27.04	28.31	28.06	25.89	26.04	22.93	22.01	19.64	20.66	19.64	20.99	19.16	25.19	26.36	35.4	17.24	16.92	17.12	20.54	25.29	18.58	20.54	19.46	22.18	22.83	20.16	20.97	23.39	25	21.46	24.91
LPA6	24.62	27.17	25	27.65	23.66	28.36	27.72	27.31	25.45	25.64	29.67	29.26	33.7	29.09	30.47	26.32	23.51	23.79	22.3	19.86	19.49	20	20.38	16.92	22.73	20.38	100	12.21	16.48	17.94	22.01	18.22	21.48	20.77	19.69	23.17	18.04	20.08	20.48	19.68	19.68	21.77	28.33
PD2R	13.64	15.29	12.6	12.81	14.78	17.3	10.17	10.04	10.12	14.29	12.3	16.6	14.29	13.28	14.04	15.32	15.55	15.48	15.1	13.49	15.26	14.59	16.21	17.6	15.61	14.53	14.29	15.77	16.67	16.74	15.55	17.65	18.1	18.57	15.83	15.83	14.77	17.15	13.93	15.16	16.39	14.81	13.2
PD2R2	29.21	29.37	32.34	29.48	29.63	24.62	21.21	20.82	22.26	28.73	25.55	29.56	24.05	20.99	24.06	19.62	22.31	19.62	22.14	22.43	22.61	19.82	17.76	19.53	30.63	24.02	22.64	17.65	20	20.48	22.09	27.06	20.32	23.53	25.69	20.16	22.44	22.83	24.4	24.8	24	22.49	19.33
EP1	15.45	14.16	16.6	14.1	17.26	13.54	14.41	15.58	14.35	16.67	14.53	17.32	16.52	19.23	16.23	15.79	18.26	16.45	16.81	13.64	15.29	17.33	17.65	16.6	19.56	19.09	15.09	19.92	15.74	16.06	15.81	18.38	17.03	17.6	19.15	16.6	15.95	17.52	13.75	16.25	17.08	15.48	14.71
EP2	14.77	16.88	15.55	14.71	17.9	17.75	16.74	14.59	11.64	18.14	14.35	17.52	16.74	15.68	18.7	16.52	17.17	17.95	20.33	17.28	18.29	14.22	18.26	18.99	18.78	19.11	15.81	17.57	16.39	15.07	13.08	15.61	18.97	18.22	16.81	17.65	18.3	19.33	13.22	15.29	16.94	14.88	16.67
EP3	16.18	18.67	16.73	17.84	15.09	17.43	15.42	13.99	12.4	14.86	16.94	16.33	13.5	14.58	18.49	13.39	20.42	20.33	17.41	15.23	16.27	16.74	19.05	18.07	16.67	16.88	16.6	19.92	18.75	15.11	16.39	17.65	17.67	18.14	18.75	17.5	23.21	19.25	16.8	17.62	17.62	18.93	14.68
EP4	16.74	17.52	15.32	16.31	15.77	16.3	15.93	16.16	16.52	14.71	17.37	17.45	16.3	15.72	18.58	15.11	14.78	14.35	15.38	14.23	16.25	17.26	16.95	15.58	14.47	17.43	16.52	15.09	16.38	14.88	16.81	19.57	19.64	19.65	17.47	18.34	17.67	18.26	15.61	18.14	15.19	17.8	16.6
FP	16.02	14.72	12.93	13.79	17.9	13.16	15.28	15.65	16.16	10.73	17.09	16.45	14.85	16.45	16.23	15.86	14.35	13.85	15.55	15.06	14.11	16.29	14.41	13.79	13.33	16.82	17.47	14.96	13.3	15.42	15.38	14.59	19.3	15.52	17.17	15.88	15.58	19.23	15.19	13.08	11.39	15.19	16.17
IP	17.17	19.15	17.87	17.52	17.33	15.42	12.78	12.61	13.42	16.88	14.89	17.09	18.42	17.32	18.58	16.52	20	17.83	20	18.33	16.74	15.04	18.14	19.4	17.03	18.02	16.09	17.67	17.67	15.28	17.67	20	19.11	18.78	16.52	18.26	16.38	16.96	12.08	13.33	16.25	12.55	16.17
